time,cpu %,memory %
2024-07-07 10:04:19,0.02,0.17
2024-07-07 10:04:23,0.02,0.17
2024-07-07 10:04:27,0.02,0.17
2024-07-07 10:04:31,72.89,0.17
2024-07-07 10:04:35,62.28,0.17
2024-07-07 10:04:39,70.37,0.17
2024-07-07 10:04:43,84.81,0.18
2024-07-07 10:04:47,78.95,0.17
2024-07-07 10:04:51,86.75,0.18
2024-07-07 10:04:55,89.73,0.17
2024-07-07 10:04:59,83.79,0.17
2024-07-07 10:05:03,82.57,0.17
2024-07-07 10:05:07,65.89,0.17
2024-07-07 10:05:11,76.17,0.18
2024-07-07 10:05:15,88.26,0.17
2024-07-07 10:05:19,79.89,0.17
2024-07-07 10:05:23,74.46,0.17
2024-07-07 10:05:27,76.66,0.17
2024-07-07 10:05:31,0.01,0.17
2024-07-07 10:05:35,0.02,0.17
2024-07-07 10:05:39,0.02,0.17
2024-07-07 10:05:43,0.02,0.17
2024-07-07 10:05:47,83.92,0.17
2024-07-07 10:05:51,78.07,0.17
2024-07-07 10:05:55,84.47,0.17
2024-07-07 10:05:59,88.45,0.17
2024-07-07 10:06:03,77.70,0.18
2024-07-07 10:06:07,59.94,0.18
2024-07-07 10:06:11,75.63,0.17
2024-07-07 10:06:15,72.10,0.17
2024-07-07 10:06:19,81.20,0.17
2024-07-07 10:06:23,86.45,0.18
2024-07-07 10:06:27,73.61,0.17
2024-07-07 10:06:31,82.22,0.17
2024-07-07 10:06:35,84.31,0.18
2024-07-07 10:06:39,86.92,0.17
2024-07-07 10:06:43,96.32,0.17
2024-07-07 10:06:47,0.02,0.17
2024-07-07 10:06:51,0.02,0.17
2024-07-07 10:06:55,0.02,0.17
2024-07-07 10:07:00,89.44,0.18
2024-07-07 10:07:04,80.14,0.17
2024-07-07 10:07:08,72.07,0.17
2024-07-07 10:07:12,75.99,0.17
2024-07-07 10:07:16,75.14,0.17
2024-07-07 10:07:20,66.25,0.17
2024-07-07 10:07:24,72.98,0.17
2024-07-07 10:07:28,75.44,0.17
2024-07-07 10:07:32,71.05,0.17
2024-07-07 10:07:36,78.69,0.17
2024-07-07 10:07:40,76.52,0.17
2024-07-07 10:07:44,83.84,0.17
2024-07-07 10:07:48,84.19,0.17
2024-07-07 10:07:52,83.78,0.17
2024-07-07 10:07:56,89.07,0.17
2024-07-07 10:08:00,0.02,0.17
2024-07-07 10:08:04,0.02,0.17
2024-07-07 10:08:08,0.02,0.17
2024-07-07 10:08:12,88.35,0.17
2024-07-07 10:08:16,89.49,0.18
2024-07-07 10:08:20,0.02,0.17
2024-07-07 10:08:24,0.03,0.17
2024-07-07 10:08:28,0.02,0.18
2024-07-07 10:08:32,75.60,0.17
2024-07-07 10:08:36,92.66,0.18
2024-07-07 10:08:40,0.02,0.17
2024-07-07 10:08:44,0.02,0.17
2024-07-07 10:08:48,0.02,0.17
2024-07-07 10:08:52,90.75,0.18
2024-07-07 10:08:56,79.99,0.18
2024-07-07 10:09:00,0.02,0.17
2024-07-07 10:09:04,0.03,0.17
2024-07-07 10:09:08,0.02,0.18
2024-07-07 10:09:12,87.48,0.18
2024-07-07 10:09:16,86.70,0.17
2024-07-07 10:09:20,90.14,0.18
2024-07-07 10:09:24,96.54,0.17
2024-07-07 10:09:28,84.73,0.18
2024-07-07 10:09:32,81.01,0.17
