time,cpu %,memory %
2024-06-10 16:04:33,83.46,0.10
2024-06-10 16:04:37,40.28,0.10
2024-06-10 16:04:41,0.02,0.10
2024-06-10 16:04:45,0.01,0.10
2024-06-10 16:04:49,34.58,0.10
2024-06-10 16:04:53,36.32,0.10
2024-06-10 16:04:57,8.69,0.10
2024-06-10 16:05:01,0.02,0.10
2024-06-10 16:05:05,0.03,0.10
2024-06-10 16:05:09,0.03,0.10
2024-06-10 16:05:13,0.03,0.10
2024-06-10 16:05:17,0.02,0.10
2024-06-10 16:05:21,0.02,0.10
2024-06-10 16:05:26,34.08,0.10
2024-06-10 16:05:30,74.47,0.10
2024-06-10 16:05:34,19.71,0.10
2024-06-10 16:05:38,0.02,0.10
2024-06-10 16:05:42,0.02,0.10
2024-06-10 16:05:46,69.45,0.10
2024-06-10 16:05:50,25.77,0.10
2024-06-10 16:05:54,0.03,0.10
2024-06-10 16:05:58,0.03,0.10
2024-06-10 16:06:02,0.02,0.10
2024-06-10 16:06:06,0.02,0.11
2024-06-10 16:06:10,24.06,0.10
2024-06-10 16:06:14,24.33,0.10
2024-06-10 16:06:18,0.02,0.10
2024-06-10 16:06:22,4.13,0.10
2024-06-10 16:06:26,13.06,0.10
2024-06-10 16:06:30,3.71,0.10
2024-06-10 16:06:34,0.02,0.10
2024-06-10 16:06:38,0.05,0.10
2024-06-10 16:06:42,0.03,0.10
2024-06-10 16:06:46,0.02,0.10
2024-06-10 16:06:50,0.02,0.10
2024-06-10 16:06:54,0.02,0.10
2024-06-10 16:06:58,0.02,0.10
2024-06-10 16:07:02,0.04,0.10
2024-06-10 16:07:06,0.02,0.10
2024-06-10 16:07:10,0.02,0.10
2024-06-10 16:07:14,0.03,0.10
2024-06-10 16:07:18,0.02,0.10
2024-06-10 16:07:22,0.04,0.10
2024-06-10 16:07:26,67.08,0.10
2024-06-10 16:07:30,24.27,0.10
2024-06-10 16:07:34,0.02,0.10
2024-06-10 16:07:38,0.02,0.10
2024-06-10 16:07:42,0.06,0.10
2024-06-10 16:07:46,0.01,0.10
2024-06-10 16:07:50,22.70,0.11
2024-06-10 16:07:54,26.01,0.11
2024-06-10 16:07:58,17.43,0.10
2024-06-10 16:08:02,0.06,0.10
2024-06-10 16:08:06,0.02,0.10
2024-06-10 16:08:10,0.03,0.10
